Tester	Environment	QuestionCode	Score
so	vocalexplanation	EQ1	7
so	vocalexplanation	EQ2	3
so	vocalexplanation	EQ3	7
so	vocalexplanation	T1	4
so	vocalexplanation	T2	2
so	vocalexplanation	T3	6
so	vocalexplanation	CL1	7
so	vocalexplanation	CL2	2
so	vocalexplanation	CL3	3
so	visualexplanation	EQ1	3
so	visualexplanation	EQ2	2
so	visualexplanation	EQ3	8
so	visualexplanation	T1	3
so	visualexplanation	T2	2
so	visualexplanation	T3	3
so	visualexplanation	CL1	9
so	visualexplanation	CL2	1
so	visualexplanation	CL3	3
binghui	noexplanation	EQ1	7
binghui	noexplanation	EQ2	7
binghui	noexplanation	EQ3	0
binghui	noexplanation	T1	4
binghui	noexplanation	T2	2
binghui	noexplanation	T3	2
binghui	noexplanation	CL1	3
binghui	noexplanation	CL2	0
binghui	noexplanation	CL3	9
binghui	visualexplanation	EQ1	6
binghui	visualexplanation	EQ2	7
binghui	visualexplanation	EQ3	7
binghui	visualexplanation	T1	7
binghui	visualexplanation	T2	3
binghui	visualexplanation	T3	6
binghui	visualexplanation	CL1	6
binghui	visualexplanation	CL2	7
binghui	visualexplanation	CL3	6
so	vvexplanation	EQ1	7
so	vvexplanation	EQ2	4
so	vvexplanation	EQ3	7
so	vvexplanation	T1	3
so	vvexplanation	T2	3
so	vvexplanation	T3	4
so	vvexplanation	CL1	3
so	vvexplanation	CL2	3
so	vvexplanation	CL3	4
binghui	vocalexplanation	EQ1	7
binghui	vocalexplanation	EQ2	2
binghui	vocalexplanation	EQ3	3
binghui	vocalexplanation	T1	0
binghui	vocalexplanation	T2	0
binghui	vocalexplanation	T3	0
binghui	vocalexplanation	CL1	3
binghui	vocalexplanation	CL2	0
binghui	vocalexplanation	CL3	3
binghui	vvexplanation	EQ1	7
binghui	vvexplanation	EQ2	7
binghui	vvexplanation	EQ3	7
binghui	vvexplanation	T1	7
binghui	vvexplanation	T2	3
binghui	vvexplanation	T3	6
binghui	vvexplanation	CL1	3
binghui	vvexplanation	CL2	6
binghui	vvexplanation	CL3	7
congfei	noexplanation	EQ1	5
congfei	noexplanation	EQ2	5
congfei	noexplanation	EQ3	5
congfei	noexplanation	T1	4
congfei	noexplanation	T2	6
congfei	noexplanation	T3	2
congfei	noexplanation	CL1	5
congfei	noexplanation	CL2	4
congfei	noexplanation	CL3	1
congfei	visualexplanation	EQ1	8
congfei	visualexplanation	EQ2	8
congfei	visualexplanation	EQ3	7
congfei	visualexplanation	T1	6
congfei	visualexplanation	T2	4
congfei	visualexplanation	T3	3
congfei	visualexplanation	CL1	4
congfei	visualexplanation	CL2	2
congfei	visualexplanation	CL3	0
congfei	vocalexplanation	EQ1	8
congfei	vocalexplanation	EQ2	3
congfei	vocalexplanation	EQ3	3
congfei	vocalexplanation	T1	4
congfei	vocalexplanation	T2	2
congfei	vocalexplanation	T3	1
congfei	vocalexplanation	CL1	6
congfei	vocalexplanation	CL2	7
congfei	vocalexplanation	CL3	7
congfei	vvexplanation	EQ1	10
congfei	vvexplanation	EQ2	10
congfei	vvexplanation	EQ3	9
congfei	vvexplanation	T1	8
congfei	vvexplanation	T2	7
congfei	vvexplanation	T3	8
congfei	vvexplanation	CL1	3
congfei	vvexplanation	CL2	6
congfei	vvexplanation	CL3	3
truth	noexplanation	EQ1	7
truth	noexplanation	EQ2	4
truth	noexplanation	EQ3	7
truth	noexplanation	T1	3
truth	noexplanation	T2	3
truth	noexplanation	T3	3
truth	noexplanation	CL1	6
truth	noexplanation	CL2	4
truth	noexplanation	CL3	4
wei	visualexplanation	EQ1	9
wei	visualexplanation	EQ2	9
wei	visualexplanation	EQ3	9
wei	visualexplanation	T1	7
wei	visualexplanation	T2	7
wei	visualexplanation	T3	5
wei	visualexplanation	CL1	4
wei	visualexplanation	CL2	4
wei	visualexplanation	CL3	4
wei	vocalexplanation	EQ1	2
wei	vocalexplanation	EQ2	4
wei	vocalexplanation	EQ3	4
wei	vocalexplanation	T1	1
wei	vocalexplanation	T2	2
wei	vocalexplanation	T3	2
wei	vocalexplanation	CL1	1
wei	vocalexplanation	CL2	4
wei	vocalexplanation	CL3	2
truth	vocalexplanation	EQ1	7
truth	vocalexplanation	EQ2	7
truth	vocalexplanation	EQ3	7
truth	vocalexplanation	T1	4
truth	vocalexplanation	T2	3
truth	vocalexplanation	T3	4
truth	vocalexplanation	CL1	7
truth	vocalexplanation	CL2	4
truth	vocalexplanation	CL3	3
leo	noexplanation	EQ1	9
leo	noexplanation	EQ2	5
leo	noexplanation	EQ3	9
leo	noexplanation	T1	5
leo	noexplanation	T2	6
leo	noexplanation	T3	6
leo	noexplanation	CL1	1
leo	noexplanation	CL2	4
leo	noexplanation	CL3	1
wei	vvexplanation	EQ1	7
wei	vvexplanation	EQ2	7
wei	vvexplanation	EQ3	3
wei	vvexplanation	T1	7
wei	vvexplanation	T2	7
wei	vvexplanation	T3	6
wei	vvexplanation	CL1	7
wei	vvexplanation	CL2	3
wei	vvexplanation	CL3	4
ying	noexplanation	EQ1	8
ying	noexplanation	EQ2	8
ying	noexplanation	EQ3	8
